iter	Passed	Remaining
0	2	239
1	4	220
2	6	210
3	8	196
4	10	195
5	12	194
6	14	194
7	16	192
8	18	190
9	21	189
10	23	187
11	25	186
12	27	183
13	29	181
14	31	178
15	33	177
16	35	175
17	38	173
18	40	171
19	42	169
20	44	166
21	46	164
22	48	161
23	50	159
24	52	157
25	54	155
26	56	154
27	59	152
28	61	150
29	63	148
30	65	146
31	67	143
32	69	141
33	71	139
34	73	136
35	75	133
36	77	131
37	79	129
38	80	126
39	82	124
40	84	121
41	85	117
42	87	115
43	88	113
44	90	110
45	92	108
46	94	106
47	96	104
48	98	102
49	99	99
50	101	97
51	103	95
52	105	93
53	107	91
54	108	88
55	110	86
56	112	84
57	113	82
58	115	80
59	117	78
60	119	76
61	121	74
62	123	72
63	125	70
64	127	68
65	129	66
66	131	64
67	134	63
68	135	61
69	137	59
70	139	57
71	141	55
72	143	53
73	145	51
74	147	49
75	149	47
76	150	45
77	152	43
78	154	41
79	156	39
80	158	37
81	160	35
82	162	33
83	163	31
84	165	29
85	167	27
86	169	25
87	171	23
88	174	21
89	175	19
90	177	17
91	179	15
92	181	13
93	183	11
94	185	9
95	187	7
96	188	5
97	190	3
98	192	1
99	194	0
