iter	Passed	Remaining
0	152	151923
1	156	78109
2	158	52715
3	160	39963
4	163	32583
5	166	27575
6	168	23833
7	169	21004
8	170	18818
9	172	17070
10	173	15642
11	175	14452
12	180	13727
13	182	12873
14	184	12109
15	186	11453
16	187	10852
17	189	10322
18	194	10037
19	195	9601
20	197	9208
21	199	8849
22	200	8523
23	202	8225
24	203	7944
25	208	7816
26	210	7593
27	212	7381
28	214	7174
29	216	7012
30	218	6826
31	223	6761
32	226	6629
33	227	6472
34	229	6329
35	231	6187
36	232	6055
37	234	5926
38	238	5868
39	240	5762
40	241	5649
41	242	5540
42	244	5437
43	245	5337
44	247	5242
45	248	5152
46	253	5136
47	254	5055
48	256	4978
49	258	4903
50	259	4830
51	261	4759
52	267	4784
53	269	4716
54	270	4649
55	272	4585
56	273	4522
57	274	4463
58	276	4406
59	277	4349
60	282	4342
61	283	4296
62	285	4246
63	287	4202
64	289	4162
65	290	4114
66	292	4068
67	293	4023
68	297	4011
69	298	3969
70	300	3927
71	301	3887
72	303	3850
73	304	3812
74	306	3775
75	307	3739
76	310	3723
77	312	3691
78	313	3658
79	315	3624
80	316	3591
81	318	3560
82	318	3521
83	320	3493
84	321	3463
85	323	3433
86	326	3421
87	328	3402
88	329	3376
89	331	3352
90	333	3326
91	334	3300
92	335	3275
93	339	3269
94	341	3248
95	342	3227
96	344	3205
97	345	3182
98	347	3159
99	348	3136
100	349	3114
101	351	3094
102	355	3093
103	357	3079
104	358	3058
105	360	3037
106	361	3018
107	362	2997
108	364	2980
109	368	2979
110	370	2969
111	372	2953
112	374	2936
113	376	2924
114	378	2910
115	379	2895
116	381	2876
117	384	2874
118	386	2859
119	387	2843
120	389	2826
121	390	2808
122	391	2793
123	393	2777
124	394	2762
125	396	2747
126	399	2746
127	401	2732
128	402	2718
129	403	2703
130	405	2689
131	406	2675
132	408	2663
133	409	2649
134	412	2645
135	414	2633
136	416	2621
137	417	2607
138	418	2595
139	420	2582
140	422	2571
141	422	2555
142	424	2543
143	425	2531
144	429	2532
145	430	2520
146	432	2509
147	434	2498
148	435	2487
149	437	2476
